evaluations raw_y
1 77.3124927953
5 59.4122050508
1455 85.7161480325
evaluations raw_y
1 79.0753485498
6 78.8430563766
15 72.7687321289
17 63.7996974692
18 51.4390517147
1455 64.0977570414
evaluations raw_y
1 82.7101198028
2 71.8012823537
4 65.5774166480
6 63.2638580569
10 52.8646677144
130959 13.8296969148
evaluations raw_y
1 67.0747354312
3 70.0455974923
9 54.2723510720
19 41.6126943599
106601 14.7632218467
evaluations raw_y
1 99.8387432861
3 80.8509825742
6 63.6377828517
10 60.6377707674
16 60.6106232664
1455 84.4100477130
evaluations raw_y
1 85.4770279358
2 70.3914878296
8 37.3752147475
115391 21.0130385544
evaluations raw_y
1 85.5494678853
2 61.4512821582
7 57.5839590005
126433 17.7724633645
evaluations raw_y
1 98.9381577310
3 82.4144833025
4 71.0338162789
8 69.6886908432
12 66.7497225735
15 57.6263240916
126585 25.3745532045
evaluations raw_y
1 59.2241878696
6 53.8218305548
130959 14.6550217078
evaluations raw_y
1 112.5479592282
3 85.9523254394
4 66.1569738018
5 56.9388318927
8 56.4028407816
130959 17.9221441867
evaluations raw_y
1 96.6319969315
2 70.6823662042
3 70.5673000616
4 59.4652831902
1709 73.5871498020
evaluations raw_y
1 72.9705726861
2 67.7799661376
3 49.1128942327
110743 30.6651910540
evaluations raw_y
1 83.4273701181
2 76.2380992023
3 68.9111804244
99323 17.8310820247
evaluations raw_y
1 66.9830313427
7 53.7615898149
1455 71.8044529224
evaluations raw_y
1 77.4880166759
3 69.0624679914
8 61.3346128241
15 62.5941867989
1463 57.0205401749
