evaluations raw_y
1 128.0404638676
2 53.0820940347
3 45.5891301677
26 40.2798347961
301 26.6457358342
12160 29.5368987413
evaluations raw_y
1 87.7849924191
4 75.3212778591
6 65.0626875032
13 38.3639831281
550 116.6811659659
evaluations raw_y
1 101.5547163286
3 92.8153738939
4 87.9937558499
8 57.7416762462
16 40.5299842535
89 41.2885528333
93 33.9325355609
317 30.6395221620
327 20.8879945783
7662 15.3060747261
evaluations raw_y
1 105.1661311006
3 52.2786827295
5 46.3821250876
7 37.0917680086
245 10.6925794620
660 52.8882690016
evaluations raw_y
1 112.6215489276
2 66.4175468629
3 51.0761100193
40 47.5692706801
41 37.6831276589
9970 14.7438721616
evaluations raw_y
1 110.8470262285
2 49.1815292423
10544 16.9337591005
evaluations raw_y
1 98.4885193066
4 38.8806299395
124 29.0410099493
328 28.9077731271
550 106.7712302915
evaluations raw_y
1 62.0743885231
18 58.1525352059
21 29.8291959628
37 21.4307971568
10618 18.8827500476
evaluations raw_y
1 88.4153119135
2 50.5608531474
3 46.7909693794
7 27.1078804129
346 25.6669933520
12160 29.1655463654
evaluations raw_y
1 96.8500278440
3 53.0831854994
14 58.1379200465
22 46.7086169952
111 33.0817312780
179 27.6485389140
205 24.5652790537
212 23.7937210847
243 19.5158903137
253 12.1399199130
9272 14.0833471420
evaluations raw_y
1 90.0106766850
2 61.5597884282
4 54.7151781260
13 30.8205563462
458 19.2573097214
476 14.4036746469
544 13.4257578392
9400 11.6084065499
evaluations raw_y
1 151.4825893060
2 95.3128119721
3 72.5582274342
4 55.8329581556
8 53.0036052110
17 46.9367695912
25 44.0111653953
54 28.7944789278
74 35.2587747932
79 29.3993850949
118 18.8731186298
550 102.3898248854
evaluations raw_y
1 153.2283604960
2 85.2714861723
4 62.8470880571
5 29.4408357737
12160 17.3793532583
evaluations raw_y
1 73.2085325953
2 68.5396899907
4 58.1620508875
7 57.3896837246
10 35.0051332761
51 31.6061346735
52 18.8701559570
10788 19.8944377081
evaluations raw_y
1 105.3188427966
2 75.2679903515
4 63.1883436647
9 54.4127058464
10 30.2505181324
37 38.8583676404
45 30.4013913127
715 16.9424347600
10720 8.7149324092
