evaluations raw_y
1 318.3065869359
3 21.1959514933
7 4.6215191649
18 2.7874424425
38 2.0256692600
43 0.3669599922
82 0.2936996456
90 0.0540794239
528 0.5258198898
evaluations raw_y
1 9.7753049206
3 3.4155009120
26 1.8498186201
57 1.8497999534
100 1.8487319888
384 3.1311604470
evaluations raw_y
1 27.3040393071
2 13.4337098142
7 4.1043003891
9 2.9250706597
16 1.8568232363
18 0.8508859827
390 9.5582696406
evaluations raw_y
1 16.4775598594
2 10.7735396529
9 9.7731052807
25 9.2937408432
26 6.4568298234
34 6.3223678775
44 6.3135326564
58 6.2998704868
64 6.2996313614
66 6.2991005832
136 6.2990995613
160 6.2990994577
189 6.2990994095
221 6.2990993780
222 6.2990993368
227 6.2990993210
236 6.2990992507
282 6.2990992496
303 6.2990992495
348 6.2990992495
373 6.2990992495
395 6.2990992495
396 6.2990992495
407 6.2990992495
443 6.2990992495
448 6.2990992495
evaluations raw_y
1 55.5638376892
2 17.9431461155
8 7.7937841201
25 6.9771452158
29 5.1465709000
34 2.8350073852
41 1.8620059666
348 3.9965368168
evaluations raw_y
1 5.0809466404
13 4.3361331520
17 4.3163976969
27 3.2754614963
29 2.1042155578
40 1.0360778474
54 0.9643110850
56 0.6379495684
57 0.4547833794
75 0.3748250664
84 0.1782011672
592 0.7425809042
evaluations raw_y
1 120.1496943177
2 11.6295582265
46 8.4910654831
934 15.3985747097
evaluations raw_y
1 43.9150225230
2 32.4872846096
5 18.7312331924
662 28.0262300026
evaluations raw_y
1 60.2393277127
3 11.0400757603
6 5.9917584835
9 0.1583015679
84 0.1256100754
111 0.1127728591
113 0.0976488162
336 0.1572982462
evaluations raw_y
1 14.6272382049
3 10.1808613583
10 7.8184918718
35 6.7872476124
49 5.5520049791
50 5.7513224238
52 1.8896937090
62 1.8746159242
72 1.4077296590
880 1.8563520591
evaluations raw_y
1 28.3308112363
13 21.5778052609
14 20.1931938444
464 28.0262300026
evaluations raw_y
1 2.1113477229
4 0.8330673714
44 0.6167098091
46 0.5967713322
65 0.4405977436
506 1.8485751649
evaluations raw_y
1 34.6004351831
2 5.5706778106
15 1.1122494725
55 1.0278738883
81 0.9158008290
98 0.2623451033
101 0.0596303595
538 0.1572982462
evaluations raw_y
1 10.1214027473
3 6.4309015330
5 5.2323417672
30 5.0484987322
398 9.5582696406
evaluations raw_y
1 187.6807082826
2 48.9233226953
3 22.4078474472
6 3.4614296938
8 3.1311987901
16 2.9961794180
18 1.9826094991
534 3.9965368168
