evaluations raw_y
1 10.9577273725
5 9.8231856106
24 5.3984070251
408 3.3108509871
1054 22.5767072307
evaluations raw_y
1 14.0761983562
4 8.7597353051
5 8.0413493796
25 7.6861987485
570 2.9585615192
742 3.7071700936
3548 2.8261223727
evaluations raw_y
1 19.9846386656
3 8.3032528160
15 5.2228074877
84 4.4950748051
2484 8.0283401932
evaluations raw_y
1 22.5032884897
2 19.0433332185
3 12.7092690329
11 15.3646432942
12 11.9661757330
14 9.4187824093
93 4.3946857370
101 3.9257747917
183 4.7294091366
550 16.2352542955
evaluations raw_y
1 23.5107355557
2 18.4473661139
3 14.5360606726
4 11.7516119501
12 10.1065547251
24 7.7360714722
289 6.0602925902
305 4.2153653146
637 3.9458475500
892 3.1079972000
4486 3.5862177881
evaluations raw_y
1 31.1584617108
2 2.4718921057
5150 0.5951636663
evaluations raw_y
1 17.1938407464
2 7.2629357383
13 5.0275183224
25 6.1458978168
91 3.7547201659
495 1.1331505352
2128 23.0657792440
evaluations raw_y
1 6.9136143355
100 2.8908632505
247 3.2850456049
770 13.5874863531
evaluations raw_y
1 9.8391315474
28 4.8149018829
118 2.6637049959
664 16.3042982136
evaluations raw_y
1 17.8741689794
2 7.5742594514
195 2.0880372443
550 29.9539724656
evaluations raw_y
1 8.8833322865
14 7.4525154101
73 4.9012918150
78 5.1940660968
150 3.9788453650
1038 3.2819526236
1414 2.3717190622
3206 12.3775258321
evaluations raw_y
1 28.2744968522
2 20.0033238549
5 11.2741408145
16 10.9726381140
37 9.5652160816
42 9.0075247276
47 5.4758295132
309 4.6595717788
550 24.2984281945
evaluations raw_y
1 11.5594613746
2 15.1760387183
5 5.3266217004
6 6.0474225145
243 4.0200714433
248 4.9830795687
846 17.7046202944
evaluations raw_y
1 18.9211184414
2 19.9726649668
3 17.5707854832
4 12.0933921944
9 9.0620828565
102 7.2894135219
117 8.0085493171
129 1.0333101400
6966 2.9304387155
evaluations raw_y
1 17.8282345778
2 15.6796427048
5 9.0178863624
6 7.5674396237
74 7.2825432347
89 6.9423122647
94 6.2016468081
140 4.1376213591
620 14.0877245943
