evaluations raw_y
1 90.9582362533
2 73.5952829826
3 64.1767550926
12 46.3763510852
104585 16.9653271465
evaluations raw_y
1 102.3203621575
2 58.5997806382
11 56.3639284277
12 57.4950543840
105589 18.8810590349
evaluations raw_y
1 112.3373745006
2 97.0258134041
3 76.6833766814
5 68.9683437576
14 54.5984905625
112781 24.1855056396
evaluations raw_y
1 91.8420908414
2 80.7452311051
4 67.9070893513
16 62.8854592428
17 58.0391730885
122907 21.3990485702
evaluations raw_y
1 108.4443610171
2 62.9965200914
130959 18.8672611531
evaluations raw_y
1 77.7679273196
2 62.3865389976
4 57.9611041749
19 53.4079314219
123947 12.9125852339
evaluations raw_y
1 100.9142483505
2 58.3435211839
6 48.1946954356
1455 87.7873039510
evaluations raw_y
1 80.6818452920
2 59.4897447518
112159 30.3991618526
evaluations raw_y
1 79.4088551762
2 79.1581701960
3 72.0305565272
8 62.7236491767
12 57.9518957204
106043 21.4272102413
evaluations raw_y
1 53.9904884500
2161 87.0071653691
evaluations raw_y
1 80.0653254869
4 79.8892447520
6 58.8218618621
11 58.6949901088
100671 17.2218126851
evaluations raw_y
1 92.8971052603
2 83.3012357883
3 62.7745914166
15 56.3240115028
101549 24.5512374561
evaluations raw_y
1 110.4713003897
2 67.0551431294
7 54.0967603464
1997 95.3369149406
evaluations raw_y
1 91.5650682698
2 75.2204391048
8 60.6462459671
10 59.5974010962
19 50.1918628022
109785 14.2316530130
evaluations raw_y
1 79.1711774666
4 79.2554991680
5 62.3974686385
9 60.4326074355
12 57.1413020220
109787 15.6520675316
