evaluations raw_y
1 20357939858.8948249817
2 7126140968.6169557571
3 5660329149.6350612640
4 2240862093.7471809387
5 1818091284.2449893951
23 1817339985.8540236950
25 1691456542.9554634094
34 1299554002.1307632923
42 999058722.4320930243
59 986192059.4499882460
129 847551881.0227568150
244 784369580.9401766062
248 776266367.6900079250
251 568285071.2959151268
510 551377579.5084785223
531 549480875.0728100538
566 485774851.8786622286
589 428845345.0241173506
715 419140241.3782338500
1030 368336562.4932685494
400048 -nan
evaluations raw_y
1 9990903997.9578685760
10 8750696046.4271316528
16 6949345197.2416009903
17 5239922872.6436958313
25 2908512156.1776127815
56 2624044410.8434386253
71 2570023848.4641737938
123 2049547758.7614746094
132 1675055683.5841870308
174 1370375311.7568910122
255 1308831248.0354919434
322 1113471110.9459619522
329 998425613.7381999493
331 786024039.0142004490
497 783533377.1463149786
575 696194685.8748205900
616 572364987.5677728653
699 542430424.9279651642
811 353576622.3084805608
400084 -nan
evaluations raw_y
1 9431769830.2130889893
2 2983636010.0102996826
6 2681562778.7939882278
7 1537575278.8400313854
8 1217061207.8500754833
13 630408046.5629603863
16 560387246.8559558392
128 532947256.7676031590
131 526191700.4651975632
148 507168752.3624027967
265 449013972.4828500748
322 441642643.7783923149
342 423883593.0316740274
425 413854308.2003290057
461 405093014.4739584923
571 378340387.4507634044
663 338454622.4166569710
691 336641212.8918260336
794 300500234.2191823125
1041 285915017.9086575508
1302 266713370.7829790413
400015 -nan
evaluations raw_y
1 4263916547.2498869896
4 3404074078.3886785507
5 1727207659.6523680687
11 826543113.6934140921
48 825285136.8503763676
50 668957173.6114953756
79 393196493.9271652102
125 255457647.9755613506
671 190481097.9736528695
400088 -nan
evaluations raw_y
1 13362845495.7294425964
3 9678027406.4003543854
4 3540814823.0725469589
16 1588217262.4000799656
40 1420737347.1284384727
57 1398171739.7353565693
76 1063745511.2669439316
90 1003617320.2221945524
137 788861452.1263903379
158 700384212.5244674683
177 644772667.0684590340
346 624896539.3511173725
357 554019260.4731225967
498 494717790.9823549390
676 440143215.1034005284
704 424469873.8066659570
753 405370991.6708946824
778 363637703.9588879943
1132 270978279.6343929768
400107 -nan
evaluations raw_y
1 12360591578.4705924988
3 9956343439.2712211609
5 3852492204.7258563042
18 2142770150.8349943161
124 1543222949.2103838921
149 1484069541.2211999893
197 1442661237.4581418037
318 1046091465.6651790142
327 755470185.9372721910
399 700648934.9413084984
499 589577800.5501023531
822 587296573.9785501957
877 553317732.9956207275
1104 536780148.7418175936
400089 -nan
evaluations raw_y
1 50213247407.3244781494
2 4506202295.3544054031
3 1006082817.1439591646
18 677638592.6326153278
322 593651838.7141864300
376 557700604.4074180126
443 498663299.0274722576
561 465663511.4563958645
727 441371588.7721516490
799 418174958.8974751830
943 389974546.3815752864
1119 367588153.4707947969
400068 -nan
evaluations raw_y
1 1344226272.5666975975
6 1303603312.5378081799
17 1133118638.1384592056
56 1098323354.0664312840
104 1092385986.2108349800
127 935604453.0905668736
147 780990999.9222916365
150 732216021.3632106781
163 570667117.9459792376
365 494551560.8700155020
506 482967833.3645694256
573 453986340.1143283844
749 397322349.6430791616
1050 366781561.1113175750
400025 -nan
evaluations raw_y
1 17251474818.9182586670
3 7561490380.0992612839
4 1998276331.3955845833
22 1665246217.9581234455
56 991963564.1893737316
152 813999924.1524640322
314 589728604.1816116571
551 468191507.0485438704
714 366830806.5964786410
1064 365607854.2167246938
1321 357983544.7803803086
400047 -nan
evaluations raw_y
1 4424169927.2696199417
2 3859946442.7577714920
5 2985129674.4932537079
9 1774519409.2532818317
18 1614889199.6717739105
20 1342556402.5838923454
75 1314894871.5246031284
124 1054501974.1813607216
182 1006140987.5777980089
186 937538092.4330422878
205 583824087.2355327606
603 499214366.0319911242
711 492540649.1934465170
728 432881864.3636195064
1087 410105857.1599740386
1379 376790219.6220271587
1383 362567349.5021948814
400081 -nan
evaluations raw_y
1 43842339341.6871948242
7 41804675614.3936309814
8 11094835860.5912170410
10 9508436933.4685211182
27 7781081170.3432655334
28 5624419113.2460317612
38 5595617519.9393310547
43 3960439019.9942860603
44 1477258549.4222731590
193 1325182145.0832028389
311 1089412165.0902769566
321 830008860.6658500433
514 751979566.9844317436
613 689597243.8975383043
789 625728340.6791157722
899 621189460.7305736542
936 478617665.8614507318
400021 -nan
evaluations raw_y
1 1693706572.7342853546
36 1587831495.1774461269
37 1408666221.2969324589
46 1354803939.7926950455
56 1157409550.3923993111
60 1012532983.2980201244
129 941116674.0031657219
133 840133760.9112745523
144 838983045.8824259043
176 797520447.0126296282
274 782692557.7922816277
327 737177702.7121063471
358 727634743.0687196255
381 647962040.2917002439
446 573427851.1677870750
563 518142628.2397327423
717 495035300.7422455549
834 482795053.4200468659
894 423179888.5013136864
928 411357271.8852345347
400065 -nan
evaluations raw_y
1 13280635273.7846488953
6 10132560253.2279548645
13 6307856668.8241519928
15 2741676000.0248908997
75 1957257251.0192375183
201 884379754.2215886116
510 868393155.4304738045
551 734807072.5910722017
578 683636656.5360534191
735 645017800.6534918547
751 635624450.9060544968
787 605467261.3467835188
827 513138046.9383731484
940 497834933.6729994416
1053 448628921.9355875254
400139 -nan
evaluations raw_y
1 3963677502.3011054993
2 2356591380.6530613899
20 1659206504.3474712372
75 1622242878.2653017044
87 1260214517.5308625698
