evaluations raw_y
1 21.5822667511
2 5.9546633890
29 5.6470936362
38 4.9374824272
263 4.6707231735
275 2.1569349778
319 2.1026413853
333 0.9741524929
594 1.3351765675
evaluations raw_y
1 10.4318089716
8 0.4999839375
22 0.3415788779
306 3.2876447371
evaluations raw_y
1 32.4163987007
3 8.9244328162
5 3.3631903825
10 2.8593594833
56 1.6992557971
61 0.8060294535
62 0.7067847157
85 0.3256563025
100 0.2391970083
101 0.0471613692
584 0.1099554304
evaluations raw_y
1 0.2614705724
41 0.1146871576
66 0.0163702645
494 0.0471235773
evaluations raw_y
1 20.6938538850
3 4.7133755386
12 1.5403593877
23 1.2441940944
36 0.7100145983
450 1.4137163816
evaluations raw_y
1 1.1080339455
6 1.0657258185
19 0.1626065409
306 9.2527847155
evaluations raw_y
1 6.3937445013
7 0.7334044252
10 0.5179651280
93 0.4476607925
103 0.3769135042
175 0.2007930030
282 0.0797207971
306 3.8889874545
evaluations raw_y
1 25.7803124104
8 2.6954940311
9 2.0144853431
21 1.2761698858
120 0.7909836937
528 2.3719021452
evaluations raw_y
1 23.1447397206
3 15.8736300089
4 9.5901984555
8 4.8709791463
13 2.8436762000
17 1.2418838935
29 1.1126823369
97 0.7100188979
336 4.8325344139
evaluations raw_y
1 80.5063098710
12 16.3696496619
22 1.7863987126
45 0.2478373810
57 0.0591508959
417 0.0235579890
567 0.0195100803
574 0.0190042262
629 0.0162888328
636 0.0157188993
721 0.0157170870
724 0.0157121598
735 0.0157077549
742 0.0157077229
749 0.0157076536
772 0.0157096978
evaluations raw_y
1 733.2338446157
2 292.8238647937
5 19.7652371493
8 9.2592261528
10 5.9585963157
12 1.2618209397
84 0.8759119869
172 0.5635871946
190 0.2099052018
728 1.1152682229
evaluations raw_y
1 0.1134804382
400 4.5710169985
evaluations raw_y
1 14.9913815655
5 4.0855948183
20 1.8040703395
33 1.7365693245
39 0.0843174472
538 0.6126102550
evaluations raw_y
1 129.2471806537
2 22.6994249455
3 5.4559567723
7 3.1555651694
29 0.6785674413
34 0.1344586857
194 0.1190438263
196 0.1103376922
236 0.0976662758
482 0.1099554307
evaluations raw_y
1 5.8599106196
2 1.7871872389
18 1.0659741670
52 0.7490609958
68 0.0325372363
490 1.0681412466
