evaluations raw_y
1 3159473143.1689972878
5 1349273282.7139415741
21 827474683.3766251802
42 770913952.5730757713
141 484916338.9001516104
659 366442556.4209900498
1027 359952277.5444000363
1089 338454030.2232724428
1279 318585942.4951291680
1438 284236305.5251329541
1991 279968223.3596072793
2200 253623919.5995322466
400024 -nan
evaluations raw_y
1 3686182294.2637815475
7 3358427789.0989961624
16 3123354763.5731196404
19 1706794833.1721394062
47 1432175414.0800781250
80 1409443730.4639873505
236 1206113665.3731272221
313 1169029783.9942531586
482 773408757.3241168261
1126 696160160.7873723507
1380 532519622.2614855170
2413 511087366.7140647173
2595 506540453.6850989461
2913 493313748.6831464171
3058 428857933.3113840818
3663 368456642.0337129235
329538 305772088.5888339877
400157 -nan
evaluations raw_y
1 5163427731.1279850006
5 2836242148.5191268921
19 2283325051.0925121307
20 1710853207.5069544315
21 1551931479.8965756893
304 1449684778.2711434364
501 777115880.6955242157
1412 628944602.3701441288
1644 579371468.3060822487
1769 545279302.6467475891
1827 544823604.5718396902
1923 495838529.2336965203
2055 470055644.8202067614
2385 384249735.3517224193
400049 -nan
evaluations raw_y
1 13808447158.4443531036
2 5125864148.4135351181
4 2058892422.6732389927
7 1612856213.7270853519
16 1093963759.0653791428
81 1023974968.3501204252
124 1001890555.6977047920
415 932829509.9071263075
499 860717394.4983158112
524 648725034.2742438316
626 541636377.5242921114
983 451529595.4377214909
1099 442544768.7920848727
1939 427343304.4231435061
1944 366263468.1441850066
2132 353837949.9952713847
2675 353664260.5629106760
2938 353227481.2712134719
400147 -nan
evaluations raw_y
1 8858071333.2419815063
2 4576670431.3826675415
5 1363577758.9310278893
17 773863287.9133511782
388 689739645.4838393927
502 673483909.9629404545
515 619365006.0206935406
596 612533592.0149555206
747 560384178.7492539883
1208 549597862.7073876858
1211 404835558.1003565192
1513 403463525.5164765120
1653 386011332.2978113294
2019 341401437.6281993389
3035 327668725.1051642895
400063 -nan
evaluations raw_y
1 2457693155.8388252258
17 2341020749.2799711227
24 898652946.5794786215
504 867219044.5047975779
600 725808571.0447510481
698 413481985.1375927329
1283 393545996.8517457843
1449 377550822.7453824878
2108 371804039.5079471469
2192 371604757.2235217690
2303 255127675.3003957272
3245 238189901.1263956428
400157 -nan
evaluations raw_y
1 6661700744.2807207108
5 3037111150.1286425591
9 2281327939.5676093102
16 1198805338.4021906853
66 776568635.4202213287
494 671974387.0081139803
953 653539780.7444670200
1056 572840382.0380259752
1070 428943401.1066904664
1324 369882230.4291191697
1638 360387376.1791093946
2277 295475724.1175273061
400063 -nan
evaluations raw_y
1 579588308.2580409050
11 551352182.0694122314
20 415118125.8952662349
41 394151599.0773189068
396 366899776.4076875448
611 330398949.7719669342
705 289075021.5396751165
966 280859520.5290994644
1171 274733119.6033438444
1187 267013440.4964405596
1436 261688158.5517872870
1452 258654576.6158274710
1790 257920488.1724014878
1811 237039063.1640781760
2204 169272267.3777165413
400059 -nan
evaluations raw_y
1 69473031987.8847351074
2 3284856331.1546106339
16 1669180731.9899952412
44 1667647698.2042672634
75 1408663601.8033959866
135 851375347.7707929611
505 785242369.7214701176
515 642603554.6445926428
520 543935155.2884638309
536 540049981.2306399345
754 470718513.8577874303
1165 387289160.7263315320
1393 381263742.2467362285
1908 347621553.5426768661
2298 333090586.4493449330
2542 325528884.1164172292
2725 311258920.1122221351
400075 -nan
evaluations raw_y
1 8720490005.9454841614
3 5574968154.2162866592
4 1890074730.0628340244
18 1889755613.2278170586
30 1829754934.7895810604
48 1597023426.1865439415
62 1193539125.6069247723
82 1160090822.3222014904
244 900187392.8784080744
509 871767084.9864184856
517 752892384.1091196537
976 751844941.6443114281
1033 721483599.4533338547
1054 702477289.3018348217
1161 611638664.9385994673
1422 600657804.4143873453
1429 572824962.4550909996
1436 562731424.6540336609
2029 545100791.1603268385
2034 495952091.6194449067
2995 388782761.4313310981
400039 -nan
evaluations raw_y
1 11131928022.2548103333
2 3093549945.9948325157
3 1045411674.3299081326
4 804254342.6814626455
14 698437518.7454742193
28 610783811.9092024565
33 486815835.9000716209
61 420905356.4495953321
481 350285135.8299110532
868 317310772.7669896483
1097 284060674.6442600489
1715 258851533.5458177924
1905 246445159.3016523123
400045 -nan
evaluations raw_y
1 17972696723.1873397827
4 12146815783.9265956879
5 7862717257.7548532486
34 6412023773.3523921967
39 6082440485.8542013168
40 4881785402.4670162201
44 3962946337.8390774727
46 3143679589.2176761627
153 2993434795.0926537514
266 2445019811.2827119827
422 1837787353.0691728592
600 1386440331.2741665840
788 1234880190.9113361835
964 1105219174.7277183533
1068 905945943.5117244720
1421 839558193.0245836973
1549 773760460.3956086636
1583 665674203.1604528427
2004 604256230.7679837942
2053 457141219.7705138326
2962 311734122.2565265298
400067 -nan
evaluations raw_y
1 276736702631.1634521484
2 15821419840.1144447327
3 15147308194.1048393250
6 7505695726.5848169327
9 1990245336.0463333130
27 1452433612.0337088108
39 1382383880.1316382885
76 1112660424.2834169865
197 941608306.3259268999
480 719236073.7346739769
606 700331978.2198195457
860 696989762.3072856665
923 546518504.8495372534
1111 539990481.9175742865
1387 530478601.5939375162
1476 460650669.1693547964
1892 411618239.2191056609
2700 350641823.4592459202
400016 -nan
evaluations raw_y
1 1105414101.0121862888
36 1075966950.7022035122
44 895095351.7433301210
75 616117669.0519044399
257 602507601.5895121098
535 514521672.2043877244
643 510978924.9821315408
666 352751921.0703803897
1207 297846875.7060274482
2071 274498455.7425857186
