evaluations raw_y
1 49.6938086369
2 40.8664692439
8 37.3058094578
17 33.2945196733
21 17.5133628855
52 17.3139126678
65 17.1534815702
73 14.4908668950
115 7.8254397041
337 20.0617125809
evaluations raw_y
1 105184.5416082726
2 108.6573939755
3 33.0491207221
30 32.3465027577
32 30.1126139800
38 27.4203292892
41 20.2474193588
179 20.2437563327
2133 18.6877275634
2143 14.2228390925
2751 20.5283392827
evaluations raw_y
1 51.8554284717
5 24.6061369009
6 22.0012629320
85 8.8098899312
1439 13.5106975768
evaluations raw_y
1 29114.3243582569
2 26.9124756781
1501 75.3184821475
evaluations raw_y
1 52.4694544598
4 20.7617387764
25 17.2761438866
53 16.3872099989
63 13.1819355573
81 11.0815053986
93 10.8493159595
97 5.4876688459
1209 12.3640100231
evaluations raw_y
1 22566.5337680789
2 20379.7965328534
3 87.1522556884
6 46.9526710963
8 33.7427952074
10 33.4549043716
25 33.4415197868
29 25.3948092232
36 19.4937114450
49 19.4071176541
54 12.8484518599
63 6.4347224743
74 5.7080692910
383 60.1567620208
evaluations raw_y
1 69.2704076146
10 45.0047237463
12 25.6907740479
104 22.8606720091
116 18.5112959518
1753 30.1305444610
evaluations raw_y
1 110.5689822439
2 74.7202093864
3 58.7598627868
4 33.0842273690
24 5.6191204118
1579 11.6979911797
evaluations raw_y
1 56.3074933129
8 50.4111651474
25 25.6402719094
80 23.7583064556
1499 27.9029625198
evaluations raw_y
1 86.1488801165
3 63.3512830208
4 28.8701278067
17 28.8321338321
1459 49.0727064559
evaluations raw_y
1 52.2511899950
4 34.5995853203
42 10.5591817407
70 10.4207736896
1615 23.4658438106
evaluations raw_y
1 65.5574275057
2 52.7217134460
6 18.8888207613
51 16.9082329935
91 14.3728085432
1671 23.8786458912
evaluations raw_y
1 44.3044576108
3 30.0222920313
20 26.9396966041
24 22.9918241675
29 11.9780370384
101 11.0286087992
112 10.0164297682
1723 19.3166905168
evaluations raw_y
1 146.2025998511
2 82.1722909625
4 31.3268634659
21 22.3496606631
23 14.6521482921
213 12.7309994554
1993 18.1605016289
evaluations raw_y
1 50.0868010725
3 20.0665321319
36 17.6459962481
74 12.0839566554
100 8.5704679585
1463 9.9245129823
