evaluations raw_y
1 0.2641887829
180 0.0214021989
728 0.9424774844
evaluations raw_y
1 19.1086077158
2 16.4197109221
3 6.2360754130
11 1.1472686975
22 0.8783168217
57 0.6197993322
71 0.2594319046
83 0.1938674714
87 0.0787019550
314 19.2997619691
evaluations raw_y
1 34.9841698519
2 29.8316800025
4 6.2679413293
306 25.1253231832
evaluations raw_y
1 17.2058744843
8 13.4746381351
9 8.2698595702
12 2.5123982235
43 1.3632550759
448 3.1730082676
evaluations raw_y
1 37.5454448761
2 25.0301957086
3 7.8345145409
7 3.6734185678
11 2.1325647668
16 0.3642277372
39 0.1848419966
73 0.0491317158
306 9.1314228658
evaluations raw_y
1 1230.6434681441
3 1021.0550990258
4 979.0157458433
6 908.3974627505
7 365.9814163227
19 338.1644064233
21 77.4640587728
23 43.4355861917
25 8.0847260011
35 5.5509110558
608 7.7126099408
evaluations raw_y
1 19.9423149727
4 15.6381523562
6 5.3331535602
7 1.7605678091
29 0.3648101807
35 0.0170459397
306 12.7973834738
evaluations raw_y
1 25.9180373090
2 5.0387129518
5 2.0172521336
114 1.5836082894
137 1.3211198380
140 0.2993913075
834 0.7696923218
evaluations raw_y
1 93.6574891146
2 22.0212925253
3 10.9480946670
10 5.5117191732
19 1.3498010189
39 0.6351806956
612 5.4349549782
evaluations raw_y
1 20.9025883838
3 15.0122339466
4 9.7012245383
12 0.4404495829
24 0.1334301918
306 27.8871670074
evaluations raw_y
1 47.9697578574
2 20.9723975322
3 6.8538288937
10 2.4687703912
12 0.6486506235
314 17.0011464469
evaluations raw_y
1 112.7243560281
2 0.2451698062
470 3.2201321574
evaluations raw_y
1 27.7778142776
2 13.8669993763
4 5.2393090657
11 4.4145875403
16 1.9952500408
21 1.5802686373
141 1.3639898788
610 12.4407066449
evaluations raw_y
1 97.8474652636
4 87.1192610305
9 27.0463494551
10 5.5857288254
14 1.4433331613
20 0.1169987637
466 0.9896013754
evaluations raw_y
1 18.4643783312
2 3.5498334449
3 0.0093606313
686 0.6911500727
