evaluations raw_y
1 4518396573.2849435806
7 3225537736.2912349701
15 2338343281.3122625351
16 1665609550.4316072464
49 1382701219.0668818951
65 928418972.5478935242
268 841084835.2281010151
496 829282915.8674182892
510 818340160.8464400768
572 762041905.4068164825
592 747295757.0103787184
605 720081882.6839681864
627 714298784.3359384537
667 677422036.8633755445
680 661053672.9309827089
896 657438474.9989562035
922 543482367.0687167645
1240 500196189.8516321778
1269 473344298.3688617349
1300 385755124.0694587827
1558 333098623.0273971558
400218 -nan
evaluations raw_y
1 5782231125.3547735214
2 1204963577.7596707344
22 1193918838.7345480919
35 793509929.2426204681
232 734969800.4335283041
300 719637804.5052925348
341 675495430.1876106262
540 621402346.1554347277
577 476092745.6478611827
952 453476287.5421633720
967 420230979.2256653905
1351 392656276.2957009673
1385 383236189.7807849050
400018 -nan
evaluations raw_y
1 34319864253.1437759399
3 6616335405.3181352615
4 5281781028.1218137741
11 4307974649.8745822906
16 2862341912.6372022629
22 1971428375.6748957634
57 1310978858.9867708683
311 1121262393.2933897972
328 953707374.9198883772
471 838856158.1394972801
585 805030806.1513618231
601 614714241.3370599747
1071 497541129.5433505177
2112 468222130.0763005614
2153 463502150.2182214856
400183 -nan
evaluations raw_y
1 24279448289.2255172729
2 19188696386.4722442627
3 3158842877.7965803146
6 2991089579.4084730148
12 2274109712.5569729805
17 1636930350.5268361568
23 1559864327.4179930687
58 1478677420.5244290829
117 1369204558.3013567924
162 1335289293.7886445522
178 1151371331.7616620064
290 1136034455.3088164330
325 887772327.7500532866
582 844540503.7638989687
595 601865153.1582216024
845 544059585.8584709167
963 502907694.9921891093
1101 482109243.2473103404
1123 481874205.0699611306
1595 373447845.0654432178
400193 -nan
evaluations raw_y
1 3177641915.5833034515
12 973894323.9977436066
36 945596505.7004623413
57 686455994.0560495853
299 656990945.7233896255
427 531352461.6857103109
587 466233619.3471432328
979 426212616.6593527794
1103 418209678.1511042118
1180 317242698.1064677238
400194 -nan
evaluations raw_y
1 4597005332.8324985504
2 3711060275.0775222778
11 3297142346.1998543739
16 1713649863.7381110191
43 1242247358.1172533035
137 1145155622.2647559643
191 1088609518.5966048241
290 938915380.8646539450
305 890525687.0718537569
337 826735290.5264337063
463 688982151.7829269171
572 687575053.5398923159
587 654337411.0970035791
609 555185594.8062949181
839 460544767.7926772833
1110 346784368.6254320145
400239 -nan
evaluations raw_y
1 2754388265.0188798904
9 1743393450.4702415466
16 1053239463.4099559784
38 903076298.6632355452
40 805956785.5224244595
57 793781323.5083034039
128 603903513.6394193172
299 600492616.9245365858
390 565595837.2273297310
394 559717235.0271729231
496 461532694.0032712221
609 460071592.4045007229
659 447288053.9100540876
880 440191629.8826113939
882 416175717.4282884002
1009 385395948.8081213236
1103 283716845.0765356421
1585 232322936.2708163857
400043 -nan
evaluations raw_y
1 6470211151.4252338409
2 5198376671.9159488678
3 4407971831.3100309372
6 1665081262.0192573071
13 1315755985.6632208824
19 970863130.8619680405
50 778514734.6464427710
115 733474662.0803432465
152 530138549.5139482617
298 519824038.9784475565
548 438005580.0804626942
570 394079896.6140421033
665 344821495.8119274974
789 307088889.0574264526
861 249611822.3665794134
1127 222861371.3733642995
400232 -nan
evaluations raw_y
1 4267422206.9042978287
2 3816268734.3346343040
13 3475549763.6710104942
18 1983252580.9866549969
38 1159921967.5304076672
41 675371505.0642410517
342 675205840.7173774242
423 599175807.8497560024
489 554722290.6887668371
789 467240765.7243354917
971 399732948.0461593270
1160 330944154.6986182332
400224 -nan
evaluations raw_y
1 35899418484.9088516235
2 14342220913.7231178284
5 8081778161.8025712967
12 5530629582.0917024612
13 3917134101.7383589745
16 3894171131.9144878387
42 3655487698.0764050484
48 3075428372.6849851608
52 3018702381.3671956062
73 3003484415.1422252655
95 1908062517.0362479687
157 1874192044.7197682858
293 1622945006.9758181572
303 1557731887.5028381348
315 1485622693.3507027626
340 1188845423.1939437389
545 838485674.7535519600
736 768788352.0753861666
867 720028450.5716443062
904 667384560.0074445009
970 565083077.6875216961
981 558737525.6420702934
1014 530891652.6115760207
1133 448414319.2304743528
1222 398730117.4311499000
400185 -nan
evaluations raw_y
1 7323666334.5170927048
2 3338325923.7850046158
10 2770816376.0498108864
12 1350473056.1672365665
37 1170909887.1574437618
49 875767596.7830376625
76 759884752.2555167675
308 680991225.7640645504
400 665743594.9372586012
526 613005172.3165224791
552 503941688.3037266731
694 413715631.5539518595
836 346945583.0386556983
1538 306961256.8981329799
400243 -nan
evaluations raw_y
1 141851806959.1121215820
2 10312541353.6788921356
5 6418563195.2460050583
18 5126883540.1780834198
19 4578133112.1898488998
26 2422703638.8804597855
98 1933737016.1174118519
300 1718214148.1006019115
310 1632926132.8890299797
490 1186543512.1362326145
651 1109370183.6931533813
857 735255956.1729286909
1148 733279991.7388396263
1274 711716144.2683948278
1314 694831013.1327404976
1401 668116161.8068135977
1639 598237512.0826950073
1800 492751869.7427024245
400169 -nan
evaluations raw_y
1 31247630054.9945755005
3 12708485440.0218029022
4 6402309285.4929180145
9 4098719167.1539959908
23 3523574775.5450758934
33 1896457197.7597384453
68 1787069305.9637484550
75 1470370881.7555792332
126 1093328672.0682675838
422 882619088.6833554506
424 835122943.2900625467
774 561949907.9176810980
937 485938666.0976508856
1245 458424972.8127402067
1259 401696685.2483904362
400174 -nan
evaluations raw_y
1 5270228392.1096277237
2 1496127376.5770626068
12 1403271108.0647170544
16 857603350.7139909267
53 661076226.1515144110
250 633635581.2711645365
311 578695924.7002711296
382 431818243.7136437297
892 402897136.3768257499
1248 389461346.1359201670
1458 318597211.0948587060
1695 273941763.1496183276
400252 -nan
evaluations raw_y
1 1835079894.3912715912
21 1128716253.8676185608
35 1126922082.9357705116
37 1103676109.1224675179
62 780102321.6131876707
86 619260699.9400475025
334 412054423.1876208186
840 361752285.0543766618
884 347616727.5032158494
901 327858770.9980457425
1170 324511446.8818599582
1240 308284656.3606947660
1292 294607477.7437281013
400247 -nan
