evaluations raw_y
1 35.5768764972
2 30.5095942312
3 7.0586242720
55 6.1643800117
227 2.5111320066
331 1.3628787633
610 1.2024491271
2148 2.2035062529
evaluations raw_y
1 11.9362372045
3 11.3577306383
13 10.2919571697
16 5.0293842971
65 4.2878125006
321 4.1526576076
453 3.7409437055
468 30.0626570709
evaluations raw_y
1 25.3181298798
2 22.2173553487
6 9.0048545590
1102 1.2212820975
evaluations raw_y
1 22.6992209214
3 16.6809621727
34 4.8319065907
818 37.6195330209
evaluations raw_y
1 11.3056456337
4 9.3956134728
34 7.0831752251
42 4.8266883805
1638 2.1409837259
evaluations raw_y
1 13.7312954381
3 7.7749006168
4 7.4692341246
8 4.7138678900
398 10.7861350554
evaluations raw_y
1 31.3886107279
2 30.3098263327
3 26.1464310416
4 14.9642082629
5 8.0540074521
25 5.7631167143
32 6.3688447239
59 4.1033641455
398 19.5381786671
evaluations raw_y
1 23.2280381346
2 12.3660504909
4 10.4242018417
6 5.4858665746
25 3.6213578293
674 2.6715679431
1008 2.1167520017
1651 2.0920613664
3716 1.2009893743
evaluations raw_y
1 9.6124114658
5 8.9261839169
10 4.1792810845
90 2.6244888884
424 23.0023565485
evaluations raw_y
1 12.6797235975
2 9.6418973376
14 4.9105462644
47 4.6825820227
83 4.3062430704
169 3.6143646374
201 2.5082621791
398 14.2216535811
evaluations raw_y
1 19.4396467325
3 12.6164237904
10 9.2984462442
18 9.6237204421
22 3.8850286260
86 2.7274562533
367 2.7242930839
506 18.1285213667
evaluations raw_y
1 15.1004341126
2 31.5616465589
3 23.9720625742
4 18.2038545606
5 10.1445301968
22 7.1991506059
24 4.0533317146
145 4.6285734908
148 4.2007122908
210 3.8332691978
385 2.5413543089
387 0.9331514136
2204 1.3752204344
evaluations raw_y
1 12.3506764894
4 9.8406275477
12 3.9238428438
398 6.5387170301
evaluations raw_y
1 16.9372628908
10 11.9233809599
23 4.3124468262
74 3.6213890994
1780 1.6192542915
evaluations raw_y
1 26.3746566060
2 13.0420519048
16 12.4042182631
19 3.8190073875
301 1.9245333587
1600 2.7612574081
